P17_001,P17_002,P17_003,P17_004,lon,lat
荏原消防署,"13109","2",品川区平塚3-16-20,139.7104960000,35.6146880000
荏原消防署旗の台出張所,"13109","3",品川区旗の台6-24-11,139.6999960000,35.6056560000
荏原消防署戸越出張所,"13109","3",品川区戸越5-20-15,139.7188010000,35.6082720000
荏原消防署小山出張所,"13109","3",品川区小山5-12-11,139.7022190000,35.6160210000
大井消防署,"13109","2",品川区東大井3-6-12,139.7400820000,35.6033320000
大井消防署滝王子出張所,"13109","3",品川区大井5-17-9,139.7281060000,35.5983290000
大井消防署八潮出張所,"13109","3",品川区八潮5-8-3,139.7514930000,35.5971910000
品川消防署,"13109","2",品川区北品川3-7-31,139.7397010000,35.6170390000
品川消防署五反田出張所,"13109","3",品川区西五反田7-25-14,139.7184950000,35.6198820000
品川消防署大崎出張所,"13109","3",品川区西品川1-7-9,139.7316390000,35.6135450000
品川消防署東品川出張所,"13109","3",品川区東品川3-32-12,139.7504370000,35.6133280000
目黒消防署,"13110","2",目黒区下目黒6丁目1番22号,139.7004130000,35.6298980000
目黒消防署大岡山出張所,"13110","3",目黒区大岡山1-37-15,139.6797480000,35.6114380000
目黒消防署中目黒出張所,"13110","3",目黒区上目黒2-9-14,139.6999400000,35.6418790000
目黒消防署八雲出張所,"13110","3",目黒区八雲3-29-14,139.6638610000,35.6154920000
目黒消防署碑文谷出張所,"13110","3",目黒区碑文谷2-11-14,139.6859140000,35.6233530000
蒲田消防署,"13111","2",大田区蒲田本町2-28-1,139.7198580000,35.5557790000
蒲田消防署羽田出張所,"13111","3",大田区本羽田3-1-2,139.7338030000,35.5489470000
蒲田消防署空港分署,"13111","3",大田区羽田空港1-1-2,139.7531910000,35.5488650000
蒲田消防署六郷出張所,"13111","3",大田区南六郷2-33-5,139.7213870000,35.5460030000
大森消防署,"13111","2",大田区大森東1-32-8,139.7393560000,35.5787490000
大森消防署山谷出張所,"13111","3",大田区大森西5-17-25,139.7277740000,35.5704160000
大森消防署市野倉出張所,"13111","3",大田区中央8-1-14,139.7114970000,35.5749430000
大森消防署森ヶ崎出張所,"13111","3",大田区大森南3-33-8,139.7456570000,35.5646010000
大森消防署馬込出張所,"13111","3",大田区南馬込1-53-4,139.7115800000,35.5906910000
田園調布消防署,"13111","2",大田区雪谷大塚町13-22,139.6776390000,35.5899130000
田園調布消防署久が原出張所,"13111","3",大田区久が原2-16-3,139.6954700000,35.5820250000
田園調布消防署雪谷出張所,"13111","3",大田区東雪谷4-4-1,139.6915540000,35.5942460000
矢口消防署,"13111","2",大田区多摩川2-5-20,139.6992500000,35.5595560000
矢口消防署下丸子出張所,"13111","3",大田区下丸子3-22-8,139.6857510000,35.5682500000
矢口消防署西蒲田出張所,"13111","3",大田区西蒲田7-33-1,139.7117200000,35.5633610000
矢口消防署西六郷出張所,"13111","3",大田区西六郷4-1-3,139.7074440000,35.5445860000
玉川消防署,"13112","2",世田谷区中町3-1-19,139.6486120000,35.6148530000
玉川消防署奥沢出張所,"13112","3",世田谷区奥沢3-29-3,139.6727490000,35.6011050000
玉川消防署新町出張所,"13112","3",世田谷区新町1-22-11,139.6492500000,35.6286020000
玉川消防署用賀出張所,"13112","3",世田谷区玉川台1-13-10,139.6329460000,35.6247410000
世田谷消防署,"13112","2",世田谷区三軒茶屋2-33-21,139.6663320000,35.6408780000
世田谷消防署宮の坂出張所,"13112","3",世田谷区宮坂2-15-3,139.6402230000,35.6507930000
世田谷消防署三宿出張所,"13112","3",世田谷区三宿1-14-5,139.6758780000,35.6463520000
世田谷消防署松原出張所,"13112","3",世田谷区松原6-26-21,139.6480550000,35.6613750000
世田谷消防署上北沢出張所,"13112","3",世田谷区上北沢1-14-2,139.6282230000,35.6629030000
世田谷消防署北沢出張所,"13112","3",世田谷区北沢2-3-11,139.6686370000,35.6599320000
成城消防署,"13112","2",世田谷区成城1-21-14,139.6011430000,35.6354890000
成城消防署烏山出張所,"13112","3",世田谷区南烏山6-14-12,139.5964480000,35.6681790000
成城消防署千歳出張所,"13112","3",世田谷区千歳台4-29-9,139.6125860000,35.6589860000
渋谷消防署,"13113","2",渋谷区神南1-8-3,139.7043000000,35.6615160000
渋谷消防署恵比寿出張所,"13113","3",渋谷区恵比寿4-19-24,139.7128860000,35.6439950000
渋谷消防署原宿出張所,"13113","3",渋谷区代々木1-2-15,139.7023550000,35.6799860000
渋谷消防署松濤出張所,"13113","3",渋谷区松濤1-25-14,139.6919400000,35.6594320000
渋谷消防署代々木出張所,"13113","3",渋谷区本町1-6-6,139.6847180000,35.6804580000
渋谷消防署富ヶ谷出張所,"13113","3",渋谷区富ヶ谷1-29-17,139.6880790000,35.6648210000
中野消防署,"13114","2",中野区中央3-25-3,139.6734680000,35.6979280000
中野消防署宮園出張所,"13114","3",中野区中央2-18-24,139.6806340000,35.7008720000
中野消防署東中野出張所,"13114","3",中野区上高田1-1-7,139.6815510000,35.7098240000
中野消防署南中野出張所,"13114","3",中野区南台2-47-8,139.6714410000,35.6862900000
野方消防署,"13114","2",中野区丸山2-21-1,139.6520520000,35.7232850000
野方消防署江古田出張所,"13114","3",中野区江古田2-2-7,139.6688010000,35.7253130000
野方消防署鷺宮出張所,"13114","3",中野区鷺宮5-24-25,139.6319980000,35.7270900000
野方消防署大和出張所,"13114","3",中野区大和町2-2-15,139.6534150000,35.7149930000
荻窪消防署下井草出張所,"13115","3",杉並区下井草3-30-10,139.6242490000,35.7224790000
荻窪消防署久我山出張所,"13115","3",杉並区久我山2-11-7,139.5985860000,35.6843990000
荻窪消防署天沼出張所,"13115","3",杉並区天沼1-46-4,139.6284160000,35.7116190000
杉並消防署,"13115","2",杉並区阿佐谷南3-4-3,139.6334710000,35.7006200000
杉並消防署阿佐ヶ谷出張所,"13115","3",杉並区阿佐谷北4-29-10,139.6380540000,35.7128410000
杉並消防署永福出張所,"13115","3",杉並区下高井戸2-21-37,139.6415550000,35.6690690000
杉並消防署高井戸出張所,"13115","3",杉並区高井戸東3-32-2,139.6191950000,35.6865380000
杉並消防署高円寺出張所,"13115","3",杉並区高円寺南5-20-8,139.6551360000,35.7028710000
杉並消防署馬橋出張所,"13115","3",杉並区高円寺南3-8-1,139.6441370000,35.6979540000
杉並消防署堀ノ内出張所,"13115","3",杉並区堀ノ内2-12-17,139.6552760000,35.6880390000
荻窪消防署,"13115","2",杉並区桃井3-4-1,139.6061950000,35.7115350000
荻窪消防署西萩出張所,"13115","3",杉並区西荻南2-2-4,139.5995580000,35.6975370000
池袋消防署,"13116","2",豊島区西池袋2-37-8,139.7069080000,35.7280360000
池袋消防署高松出張所,"13116","3",豊島区高松1-2-4,139.6995480000,35.7349800000
池袋消防署長崎出張所,"13116","3",豊島区長崎3-7-5,139.6886600000,35.7286470000
豊島消防署,"13116","2",豊島区東池袋3-19-20,139.7218790000,35.7297590000
豊島消防署巣鴨出張所,"13116","3",豊島区巣鴨4-30-8,139.7328220000,35.7388690000
豊島消防署目白出張所,"13116","3",豊島区目白2-10-3,139.7108250000,35.7203150000
王子消防署,"13117","2",北区王子4-28-1,139.7367100000,35.7631160000
王子消防署十条出張所,"13117","3",北区中十条1-7-10,139.7294050000,35.7581440000
王子消防署東十条出張所,"13117","3",北区東十条3-6-6,139.7303220000,35.7663660000
赤羽消防署,"13117","2",北区赤羽南1-10-4,139.7237940000,35.7776420000
赤羽消防署志茂出張所,"13117","3",北区志茂2-34-15,139.7295160000,35.7807800000
赤羽消防署西が丘出張所,"13117","3",北区西が丘1-48-6,139.7112950000,35.7679210000
赤羽消防署赤羽台出張所,"13117","3",北区赤羽台2-4-41,139.7134890000,35.7777530000
赤羽消防署浮間出張所,"13117","3",北区浮間3-13-15,139.7003230000,35.7870290000
滝野川消防署,"13117","2",北区西ケ原2-1-1,139.7448770000,35.7445630000
滝野川消防署三軒家出張所,"13117","3",北区滝野川5-39-3,139.7236280000,35.7475620000
滝野川消防署田端出張所,"13117","3",北区田端新町1-20-12,139.7685140000,35.7386200000
荒川消防署,"13118","2",荒川区荒川2-1-13,139.7841250000,35.7351780000
荒川消防署音無川出張所,"13118","3",荒川区西日暮里2-19-9,139.7716260000,35.7283440000
荒川消防署汐入出張所,"13118","3",荒川区南千住8-2-4,139.8087250000,35.7370010000
荒川消防署南千住出張所,"13118","3",荒川区南千住6-59-17,139.7959570000,35.7366220000
荒川消防署日暮里出張所,"13118","3",荒川区東日暮里3-9-26,139.7830140000,35.7290670000
尾久消防署,"13118","2",荒川区東尾久8-44-4,139.7662640000,35.7500080000
尾久消防署下尾久出張所,"13118","3",荒川区東尾久3-5-4,139.7737910000,35.7446760000
尾久消防署尾竹橋出張所,"13118","3",荒川区町屋6-32-5,139.7860670000,35.7519250000
志村消防署,"13119","2",板橋区相生町17-1,139.6786590000,35.7771960000
志村消防署高島平出張所,"13119","3",板橋区高島平3-12-10,139.6577952800,35.7861950000
志村消防署志村坂上出張所,"13119","3",板橋区志村1-10-15,139.6973240000,35.7736970000
志村消防署成増出張所,"13119","3",板橋区成増1-30-12,139.6302460000,35.7770010000
志村消防署赤塚出張所,"13119","3",板橋区赤塚3-1-10,139.6403570000,35.7770010000
志村消防署蓮根出張所,"13119","3",板橋区坂下2-32-28,139.6815750000,35.7843620000
板橋消防署,"13119","2",板橋区板橋2-60-15,139.7111020000,35.7501450000
板橋消防署小茂根出張所,"13119","3",板橋区小茂根2-14-10,139.6818980000,35.7491860000
板橋消防署常盤台出張所,"13119","3",板橋区南常盤台2-5-12,139.6864640000,35.7586710000
光が丘消防署,"13120","2",練馬区光が丘2-9-1,139.6312470000,35.7589200000
光が丘消防署北町出張所,"13120","3",練馬区北町2-35-5,139.6589660000,35.7686410000
石神井消防署,"13120","2",練馬区下石神井町5-16-8,139.5998620000,35.7295890000
石神井消防署関町消防出張所,"13120","3",練馬区関町北1-5-14,139.5781970000,35.7234500000
石神井消防署石神井公園消防出張所,"13120","3",練馬区石神井町2-16-1,139.6077770000,35.7454480000
石神井消防署大泉学園消防出張所,"13120","3",練馬区大泉学園町1-7-11,139.5889450000,35.7591410000
石神井消防署大泉消防出張所,"13120","3",練馬区東大泉6-34-44,139.5858340000,35.7480860000
練馬消防署（仮庁舎),"13120","2",練馬区豊玉中3-9-11,139.6561620000,35.7300910000
練馬消防署貫井出張所,"13120","3",練馬区貫井5-17-4,139.6327200000,35.7429490000
